"","season","Age.Category","hospitalizations"
"1",2018,"0-<6 months",351
"2",2018,"6-<12 months",178
"3",2018,"1-<2 years",176
"4",2018,"2-4 years",115
"5",2019,"0-<6 months",653
"6",2019,"6-<12 months",223
"7",2019,"1-<2 years",238
"8",2019,"2-4 years",196
"9",2020,"0-<6 months",36
"10",2020,"6-<12 months",22
"11",2020,"1-<2 years",21
"12",2020,"2-4 years",20
"13",2021,"0-<6 months",383
"14",2021,"6-<12 months",133
"15",2021,"1-<2 years",191
"16",2021,"2-4 years",189
"17",2022,"0-<6 months",749
"18",2022,"6-<12 months",494
"19",2022,"1-<2 years",437
"20",2022,"2-4 years",560
